source_row,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,was_previously_contacted,days_since_previous_contact,score
40875,57,admin.,married,university.degree,no,unknown,unknown,cellular,oct,wed,2,2,success,-1.1,94.601,-49.5,0.959,4963.6,1,3,0.9610127690232192
40958,63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,6,0.9605230918068478
41006,37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,1,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,6,0.9598869316433951
41033,33,admin.,single,university.degree,no,yes,no,cellular,oct,mon,1,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,5,0.959614855930118
40941,66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,6,0.9591382714429068
41037,28,admin.,single,university.degree,no,yes,no,cellular,oct,mon,1,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,6,0.9583723120234375
40945,54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,6,0.9578583836350831
40956,54,self-employed,married,university.degree,no,yes,no,cellular,oct,thu,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,6,0.957535957552312
41003,37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,5,success,-1.1,94.601,-49.5,1.025,4963.6,1,5,0.9568097840517286
40994,54,services,divorced,high.school,no,yes,yes,cellular,oct,wed,4,1,success,-1.1,94.601,-49.5,1.016,4963.6,1,3,0.956214098965947
40912,33,services,single,university.degree,no,yes,no,cellular,oct,mon,2,2,success,-1.1,94.601,-49.5,0.977,4963.6,1,3,0.9554105599877947
41044,62,admin.,married,high.school,no,no,no,cellular,oct,tue,1,3,success,-1.1,94.601,-49.5,1.037,4963.6,1,4,0.9553384966987767
40957,37,admin.,single,high.school,no,no,no,telephone,oct,thu,1,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,3,0.954603148427251
40927,31,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,6,0.9541278625983096
40954,48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,6,0.9533858459468342
40986,84,retired,divorced,basic.4y,unknown,yes,yes,cellular,oct,mon,4,1,success,-1.1,94.601,-49.5,1.0,4963.6,1,3,0.9525665132613292
41045,30,student,single,high.school,no,yes,no,cellular,oct,tue,1,2,failure,-1.1,94.601,-49.5,1.037,4963.6,1,17,0.9512895366299807
41032,36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,3,0.9510438570618346
40885,28,admin.,single,university.degree,no,no,no,cellular,oct,thu,1,1,success,-1.1,94.601,-49.5,0.965,4963.6,1,17,0.9509655114358203
41013,29,admin.,single,high.school,no,no,no,telephone,oct,thu,2,1,success,-1.1,94.601,-49.5,1.025,4963.6,1,6,0.9498461190658446
40914,24,blue-collar,single,basic.9y,no,no,no,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,6,0.949081981067622
41034,33,services,single,high.school,no,yes,no,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,6,0.9490715319943692
41024,37,unemployed,single,professional.course,no,no,no,cellular,oct,fri,4,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,6,0.9489695907019607
40898,49,technician,divorced,professional.course,no,yes,no,cellular,oct,fri,2,1,success,-1.1,94.601,-49.5,0.972,4963.6,1,3,0.9487200356890346
40891,29,technician,married,professional.course,no,yes,no,cellular,oct,fri,1,2,success,-1.1,94.601,-49.5,0.972,4963.6,1,5,0.9480747681101572
40940,49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,6,0.9480552392574902
41017,45,admin.,married,high.school,no,yes,no,cellular,oct,fri,3,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,6,0.9477229213979831
41011,37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,4,success,-1.1,94.601,-49.5,1.025,4963.6,1,11,0.9475513981400157
38274,17,student,single,unknown,no,no,yes,cellular,oct,tue,1,2,success,-3.4,92.431,-26.9,0.742,5017.5,1,2,0.9470282961634255
41007,37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,13,0.946991972926193
40976,56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,1,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,3,0.9467885769892634
41040,30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,6,0.9467616250129928
40857,30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,2,1,success,-1.1,94.601,-49.5,0.942,4963.6,1,16,0.9463479258566803
40977,42,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,1.0,4963.6,1,6,0.9452285320485913
38432,56,retired,married,professional.course,no,no,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,3,0.9417440193981202
38539,62,retired,married,high.school,no,no,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.724,5017.5,1,6,0.9406637586968705
40907,48,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,8,0.9398590998477147
40870,35,technician,married,professional.course,no,yes,yes,cellular,oct,wed,1,2,failure,-1.1,94.601,-49.5,0.959,4963.6,1,9,0.9392496989994745
41035,30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,9,0.939095709746256
40893,27,student,single,unknown,no,yes,no,cellular,oct,fri,1,4,failure,-1.1,94.601,-49.5,0.972,4963.6,1,20,0.9387281724397107
38314,74,retired,married,professional.course,no,yes,no,cellular,oct,thu,2,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,3,0.9383876054411305
40895,60,retired,married,basic.4y,no,unknown,unknown,cellular,oct,fri,1,3,failure,-1.1,94.601,-49.5,0.972,4963.6,1,10,0.9373377713358911
41018,26,unemployed,single,high.school,no,yes,no,cellular,oct,fri,3,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,14,0.9361137286071755
38270,22,student,single,high.school,no,yes,no,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,6,0.9353051233435284
40886,70,retired,married,basic.4y,unknown,no,no,cellular,oct,thu,1,3,failure,-1.1,94.601,-49.5,0.965,4963.6,1,14,0.9330823567394438
40901,56,unemployed,divorced,basic.4y,no,no,yes,cellular,oct,fri,2,3,success,-1.1,94.601,-49.5,0.972,4963.6,1,5,0.9320642741031444
38575,55,retired,married,high.school,no,yes,no,cellular,oct,thu,2,1,success,-3.4,92.431,-26.9,0.722,5017.5,1,7,0.9313352680973738
38316,74,retired,married,basic.9y,no,yes,no,cellular,oct,thu,2,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,6,0.93091503535032
38287,36,admin.,single,university.degree,no,yes,no,cellular,oct,wed,1,2,success,-3.4,92.431,-26.9,0.742,5017.5,1,2,0.9301804869260165
40936,31,technician,married,university.degree,no,no,no,cellular,oct,tue,2,3,failure,-1.1,94.601,-49.5,0.982,4963.6,1,12,0.9297791917229671
40910,29,admin.,single,university.degree,no,no,no,cellular,oct,mon,2,2,failure,-1.1,94.601,-49.5,0.977,4963.6,1,12,0.9296490726790159
38431,56,retired,married,professional.course,no,unknown,unknown,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,6,0.9261383245772091
38445,22,student,single,high.school,no,no,no,cellular,oct,fri,3,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,6,0.9255739632686323
38457,22,student,single,basic.9y,no,no,no,cellular,oct,fri,2,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,6,0.9252609730396093
38415,88,retired,divorced,basic.4y,no,no,no,cellular,oct,wed,2,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9250924564298829
41054,31,student,single,university.degree,no,no,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,0,0,0.9248968941021134
38179,83,retired,married,professional.course,no,yes,no,cellular,oct,fri,2,1,success,-3.4,92.431,-26.9,0.752,5017.5,1,4,0.9247086109663192
40878,32,technician,married,professional.course,no,no,no,cellular,oct,wed,2,4,failure,-1.1,94.601,-49.5,0.959,4963.6,1,14,0.9216057767089267
38505,81,retired,married,university.degree,unknown,yes,yes,cellular,oct,tue,2,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,6,0.920601252458831
38487,71,retired,married,basic.4y,no,yes,yes,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,6,0.9186337423882298
41036,38,technician,single,university.degree,no,yes,no,telephone,oct,mon,1,3,failure,-1.1,94.601,-49.5,1.032,4963.6,1,9,0.9166076917924897
40993,50,entrepreneur,divorced,university.degree,no,yes,no,telephone,oct,tue,7,2,success,-1.1,94.601,-49.5,1.008,4963.6,1,11,0.9163164634294012
38491,68,retired,married,basic.4y,no,yes,no,cellular,oct,tue,1,2,success,-3.4,92.431,-26.9,0.728,5017.5,1,6,0.915819256624995
38411,36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9131106493983284
38407,38,admin.,married,university.degree,no,yes,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9129370769346987
40874,41,technician,married,professional.course,no,no,no,cellular,oct,wed,2,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,27,0.9116842884774876
38587,72,retired,married,basic.4y,no,no,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.72,5017.5,1,6,0.9115111866783038
41028,28,admin.,single,university.degree,no,yes,no,cellular,oct,mon,4,3,failure,-1.1,94.601,-49.5,1.032,4963.6,1,17,0.911457683920729
41027,37,services,married,high.school,no,yes,yes,cellular,oct,fri,2,2,failure,-1.1,94.601,-49.5,1.029,4963.6,1,12,0.9110415603343122
38212,48,management,married,university.degree,no,no,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,6,0.9109001531781385
38414,32,admin.,married,university.degree,no,yes,no,cellular,oct,wed,2,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9108267734597403
41029,46,management,married,university.degree,no,unknown,unknown,cellular,oct,mon,2,2,failure,-1.1,94.601,-49.5,1.032,4963.6,1,12,0.9103713272612866
40904,55,admin.,married,high.school,no,no,no,telephone,oct,mon,2,3,success,-1.1,94.601,-49.5,0.977,4963.6,1,10,0.9090546091211227
38530,61,blue-collar,married,high.school,no,no,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.724,5017.5,1,2,0.908788993686056
40930,22,student,single,university.degree,no,yes,no,cellular,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,0.982,4963.6,0,0,0.9079966125399344
40918,26,technician,single,professional.course,no,no,no,telephone,oct,mon,1,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,16,0.9077397307591046
38154,50,management,married,university.degree,no,yes,no,cellular,oct,thu,2,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,4,0.9074543552391203
38405,44,admin.,married,university.degree,no,yes,no,cellular,oct,wed,3,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9070247368746602
38512,26,management,single,university.degree,no,yes,no,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,6,0.9065122235830773
38173,23,unemployed,single,basic.9y,no,yes,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,4,0.9059354330380955
38442,35,unemployed,married,university.degree,no,no,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,6,0.9031824241376823
38165,49,technician,divorced,unknown,no,yes,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,4,0.9031070169231187
38418,54,admin.,divorced,university.degree,no,yes,no,cellular,oct,wed,2,2,success,-3.4,92.431,-26.9,0.735,5017.5,1,6,0.9029585510115057
38158,35,admin.,married,high.school,no,yes,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,4,0.9025914421392843
38352,34,management,married,university.degree,no,yes,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,2,0.9017951190101438
41008,23,student,single,high.school,no,yes,no,cellular,oct,thu,3,0,nonexistent,-1.1,94.601,-49.5,1.025,4963.6,0,0,0.9011694632126439
41047,62,admin.,married,high.school,no,no,no,cellular,oct,tue,4,2,failure,-1.1,94.601,-49.5,1.037,4963.6,1,18,0.9011246642775603
38159,35,admin.,married,high.school,no,no,no,cellular,oct,thu,1,2,success,-3.4,92.431,-26.9,0.754,5017.5,1,4,0.9009323203138379
38283,28,technician,single,high.school,no,unknown,unknown,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,6,0.9006702587297257
38354,32,admin.,single,university.degree,no,no,no,cellular,oct,fri,2,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,6,0.8999962734538238
38452,98,retired,married,basic.4y,unknown,yes,no,cellular,oct,fri,1,2,success,-3.4,92.431,-26.9,0.73,5017.5,1,2,0.899318303674908
41049,21,student,single,high.school,no,no,no,cellular,oct,tue,2,0,nonexistent,-1.1,94.601,-49.5,1.037,4963.6,0,0,0.8982331616360439
40928,21,student,single,high.school,no,no,no,cellular,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,0.982,4963.6,0,0,0.897177369284555
38508,31,management,married,university.degree,no,yes,no,cellular,oct,tue,3,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,4,0.8965978793105737
38230,54,management,divorced,university.degree,no,yes,no,cellular,oct,thu,2,1,success,-3.4,92.431,-26.9,0.741,5017.5,1,6,0.8962504970921619
38393,33,admin.,married,university.degree,no,yes,no,cellular,oct,tue,2,1,success,-3.4,92.431,-26.9,0.737,5017.5,1,6,0.8961292436088649
41052,65,retired,married,basic.4y,no,no,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,0,0,0.8952331635262346
38250,44,technician,married,basic.9y,no,yes,no,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,2,0.8951136327388258
38208,34,self-employed,married,university.degree,no,no,no,cellular,oct,wed,1,3,failure,-3.4,92.431,-26.9,0.74,5017.5,1,5,0.8931586885453123
38238,42,management,single,university.degree,no,no,no,cellular,oct,mon,1,1,success,-3.4,92.431,-26.9,0.743,5017.5,1,6,0.8931271295115853
38312,40,services,married,professional.course,no,yes,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,3,0.8928494571142505
38348,33,admin.,married,university.degree,no,no,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,6,0.8922660202834696
38199,56,unknown,married,basic.4y,no,no,no,cellular,oct,tue,1,2,success,-3.4,92.431,-26.9,0.744,5017.5,1,2,0.8921592055133535
38419,42,blue-collar,married,professional.course,no,yes,no,cellular,oct,wed,1,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,7,0.8913335824548744
38278,48,admin.,married,basic.6y,no,yes,no,cellular,oct,tue,2,2,success,-3.4,92.431,-26.9,0.742,5017.5,1,5,0.8912644939433487
38436,45,technician,married,professional.course,no,no,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,6,0.891042952729716
38330,39,technician,married,university.degree,no,no,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,6,0.8907033345647776
38461,29,admin.,single,high.school,no,yes,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,6,0.888578439122563
38423,34,technician,married,professional.course,no,yes,no,cellular,oct,wed,2,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,8,0.8884287065147672
38209,58,technician,married,basic.4y,no,no,yes,cellular,oct,wed,2,2,success,-3.4,92.431,-26.9,0.74,5017.5,1,4,0.886698750546965
40933,71,retired,married,professional.course,no,no,no,cellular,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,0.982,4963.6,0,0,0.8863343575551542
38269,32,admin.,married,professional.course,no,no,yes,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,6,0.8860922277950106
41025,25,student,single,high.school,no,no,no,cellular,oct,fri,3,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,0,0,0.8855530807732875
40987,60,retired,married,university.degree,no,yes,no,cellular,oct,mon,2,0,nonexistent,-1.1,94.601,-49.5,1.0,4963.6,0,0,0.8851220216496722
38454,35,blue-collar,single,high.school,no,no,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,6,0.8850743510075569
41019,31,student,single,high.school,no,yes,no,cellular,oct,fri,3,0,nonexistent,-1.1,94.601,-49.5,1.029,4963.6,0,0,0.8835833090682784
38366,36,admin.,single,high.school,no,yes,no,cellular,oct,mon,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,6,0.8816228886218593
38438,56,technician,married,basic.4y,no,no,no,cellular,oct,thu,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,3,0.8809456349056161
38204,50,unknown,married,unknown,no,no,no,cellular,oct,wed,1,3,failure,-3.4,92.431,-26.9,0.74,5017.5,1,8,0.8800263899114253
38333,38,admin.,married,university.degree,no,yes,no,cellular,oct,fri,2,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,8,0.8796322463807854
38319,33,admin.,single,university.degree,no,yes,no,telephone,oct,thu,3,2,success,-3.4,92.431,-26.9,0.74,5017.5,1,6,0.8796316335520307
41051,27,technician,single,university.degree,no,no,no,cellular,oct,wed,2,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,0,0,0.8790229436993064
38325,28,services,married,basic.9y,no,yes,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,2,0.8787152392830169
38428,56,technician,married,basic.4y,no,no,no,cellular,oct,thu,1,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,6,0.8760850126503049
40871,26,admin.,single,university.degree,no,yes,yes,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,0,0.8760113589491355
38496,42,management,married,university.degree,no,no,no,telephone,oct,tue,1,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,3,0.8759378921324923
40868,26,technician,single,university.degree,no,no,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,0,0.8753853232655168
40861,41,retired,single,basic.4y,no,yes,no,cellular,oct,fri,1,0,nonexistent,-1.1,94.601,-49.5,0.942,4963.6,0,0,0.8737919275795902
38486,72,admin.,married,university.degree,unknown,no,yes,cellular,oct,tue,1,1,success,-3.4,92.431,-26.9,0.728,5017.5,1,6,0.8736091037481997
38182,28,unemployed,single,basic.4y,no,yes,no,cellular,oct,fri,2,1,success,-3.4,92.431,-26.9,0.752,5017.5,1,4,0.8726794978802478
40997,25,student,married,high.school,no,yes,no,telephone,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,1.016,4963.6,0,0,0.8723827148047198
40981,68,retired,divorced,high.school,no,yes,no,cellular,oct,mon,1,0,nonexistent,-1.1,94.601,-49.5,1.0,4963.6,0,0,0.8688936580472797
41048,25,student,single,high.school,no,yes,no,telephone,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,1.037,4963.6,0,0,0.8681354910659977
41050,30,management,married,university.degree,no,no,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,0,0,0.8671904164220154
40869,26,blue-collar,single,basic.6y,no,no,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,0,0.8668616889817058
38342,36,services,married,high.school,no,yes,no,cellular,oct,fri,1,1,success,-3.4,92.431,-26.9,0.739,5017.5,1,6,0.8653760131953993
40939,27,student,single,high.school,no,no,no,telephone,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,0.982,4963.6,0,0,0.8642213606760125
40921,71,retired,married,professional.course,no,yes,no,cellular,oct,mon,2,0,nonexistent,-1.1,94.601,-49.5,0.977,4963.6,0,0,0.8639189579895831
40882,36,admin.,single,university.degree,no,no,no,cellular,oct,thu,2,0,nonexistent,-1.1,94.601,-49.5,0.965,4963.6,0,0,0.8630335902560914
38318,37,blue-collar,married,basic.6y,no,no,no,cellular,oct,thu,2,3,failure,-3.4,92.431,-26.9,0.74,5017.5,1,6,0.8629391542545244
40877,22,self-employed,single,professional.course,no,yes,no,cellular,oct,wed,1,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,0,0.8621177615493278
38465,26,admin.,single,high.school,no,no,no,telephone,oct,fri,2,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,4,0.8611330976730102
38398,60,technician,married,basic.4y,no,yes,no,cellular,oct,tue,2,1,success,-3.4,92.431,-26.9,0.737,5017.5,1,6,0.8604714736434395
40934,27,admin.,single,university.degree,no,no,no,cellular,oct,tue,1,0,nonexistent,-1.1,94.601,-49.5,0.982,4963.6,0,0,0.8590135916936028
38561,67,admin.,married,basic.4y,unknown,no,no,cellular,oct,thu,2,2,success,-3.4,92.431,-26.9,0.722,5017.5,1,2,0.8584279370737501
40948,33,management,single,university.degree,no,no,no,cellular,oct,thu,3,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,0,0,0.8578696910902291
40880,28,admin.,single,high.school,no,no,no,cellular,oct,wed,2,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0,0,0.8565631245814325
40959,37,admin.,single,high.school,no,no,no,cellular,oct,thu,1,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,0,0,0.8523533436641408
40960,37,admin.,single,high.school,no,no,no,cellular,oct,thu,1,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,0,0,0.8523533436641408
38334,39,technician,married,university.degree,no,yes,no,cellular,oct,fri,1,2,failure,-3.4,92.431,-26.9,0.739,5017.5,1,7,0.8518776139512396
40915,74,retired,married,university.degree,no,no,no,telephone,oct,mon,1,0,nonexistent,-1.1,94.601,-49.5,0.977,4963.6,0,0,0.8512817228038226
38400,59,housemaid,married,basic.4y,no,yes,no,cellular,oct,tue,2,1,success,-3.4,92.431,-26.9,0.737,5017.5,1,6,0.8507029661738027
40949,54,self-employed,married,university.degree,no,no,no,cellular,oct,thu,3,0,nonexistent,-1.1,94.601,-49.5,0.987,4963.6,0,0,0.8502461083079036
40364,27,student,single,university.degree,no,yes,no,cellular,aug,wed,1,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,0,0.850028691189924
40967,34,student,single,professional.course,no,yes,no,telephone,oct,fri,1,0,nonexistent,-1.1,94.601,-49.5,0.993,4963.6,0,0,0.8487973700473019
